Serving Count	Cals Per Serv	Total Cals	Total Cals Per Dollar	Fat Per Serv	Total Fat	Total Fat Per Dollar	Carbs Per Serving	Total Carbs	Total Carbs Per Dollar	Protein Per Serving	Total Protein	Total Protein Per Dollar	Link
12	290	3480	133.9	13	156	6	32	384	14.8	15	180	6.9	http://vitacost.com/san-rawfusion-whole-foods-protein-bar-almond-berry-12-bars
15	270	4050	184.2	13	195	8.9	30	450	20.5	10	150	6.8	http://vitacost.com/larabar-alt-fruit-and-nut-protein-bar-chocolate-chip-macaroon-15-bars
15	270	4050	184.2	13	195	8.9	30	450	20.5	10	150	6.8	http://vitacost.com/larabar-alt-fruit-and-nut-bar-chocolate-peanut-butter
15	240	3600	163.7	10	150	6.8	27	405	18.4	10	150	6.8	http://vitacost.com/larabar-alt-fruit-and-nut-bar-peanut-butter-cookie-15-bars
15	220	3300	150.1	6	90	4.1	30	450	20.5	10	150	6.8	http://vitacost.com/larabar-alt-fruit-and-nut-bar-pumpkinpie-15-bars
15	210	3150	143.2	9	135	6.1	23	345	15.7	10	150	6.8	http://vitacost.com/larabar-alt-fruit-and-nut-bar-lemon-pound-cake-15-bars-1
12	200	2400	133.4	14	168	9.3	13	156	8.7	10	120	6.7	http://vitacost.com/kind-plus-protein-bars-almond-walnut-and-macadamia
12	170	2040	120.1	5	60	3.5	27	324	19.1	9	108	6.4	http://vitacost.com/nugo-nutrition-nugo-free-bar-dark-chocolate-trail-mix
12	150	1800	105.9	3	36	2.1	28	336	19.8	9	108	6.4	http://vitacost.com/nugo-nutrition-nugo-free-bar
12	190	2280	114.1	5	60	3	26	312	15.6	10	120	6	http://vitacost.com/nugo-nutrition-nugo-organic-bars-dark-chocolate-almond
12	190	2280	114.1	5	60	3	26	312	15.6	10	120	6	http://vitacost.com/nugo-nutrition-nugo-organic-bars-dark-chocolate-pomegranate-12-bars
12	230	2760	92	8	96	3.2	25	300	10	15	180	6	http://vitacost.com/garden-of-life-fucoprotein-high-protein-thermogenic-bars
12	230	2760	92	8	96	3.2	25	300	10	15	180	6	http://vitacost.com/garden-of-life-fucoprotein-high-protein-thermogenic-bars-peanut-butter-crunch
12	220	2640	84.6	10	120	3.8	23	276	8.8	14	168	5.4	http://vitacost.com/schinoussa-raw-more-superfood-paleo-bar-fruit-nut-12-bars
10	150	1500	79	4.5	45	2.4	3	30	1.6	10	100	5.3	http://vitacost.com/think-products-thinkthin-lean-protein-fiber-bars-salted-caramel
10	150	1500	79	6	60	3.2	19	190	10	10	100	5.3	http://vitacost.com/think-products-thinkthin-lean-protein-fiber-bars-chocolate-almond-brownie-10-bars
10	150	1500	79	6	60	3.2	19	190	10	10	100	5.3	http://vitacost.com/think-products-thinkthin-lean-protein-fiber-bars-chunky-chocolate-peanut-10-bars
10	150	1500	79	6	60	3.2	19	190	10	10	100	5.3	http://vitacost.com/think-products-thinkthin-lean-protein-fiber-bars-honey-drizzle-peanut-10-bars
12	270	3240	108.4	14	168	5.6	28	336	11.2	12	144	4.8	http://vitacost.com/amazing-grass-organic-green-superfood-nutrition-bar-chocolate-peanut-butter
10	180	1800	72	6	60	2.4	26	260	10.4	12	120	4.8	http://vitacost.com/yup-b-jammin-energy-bar-pb-j-10-bars-2
10	160	1600	64	3.5	35	1.4	28	280	11.2	12	120	4.8	http://vitacost.com/yup-b-jammin-energy-bar-vanilla-cherry-pie-10-bars-3
10	150	1500	60	2	20	0.8	29	290	11.6	12	120	4.8	http://vitacost.com/yup-b-jammin-energy-bar-apple-pie-ala-mode-10-bars-2
12	200	2400	133.4	13	156	8.7	17	204	11.3	7	84	4.7	http://vitacost.com/kind-plus-protein-bars-peanut-butter-dark-chocolate-12-bars-3
12	240	2880	92.3	10	120	3.8	25	300	9.6	12	144	4.6	http://vitacost.com/schinoussa-raw-more-superfood-paleo-bar-greek-yogurt-honey-12-bars
12	240	2880	91.7	9	108	3.4	32	384	12.2	12	144	4.6	http://vitacost.com/amazing-grass-green-superfood-bars-protein-cafe-mocha-12-bars
12	220	2640	84.6	10	120	3.8	22	264	8.5	12	144	4.6	http://vitacost.com/schinoussa-raw-more-superfood-paleo-bar-cacao-12-bars
4	200	800	123.3	13	52	8	17	68	10.5	7	28	4.3	http://vitacost.com/kind-plus-bars-peanut-butter-dark-chocolate-protein-4-bars
12	250	3000	106.4	18	216	7.7	17	204	7.2	10	120	4.3	http://vitacost.com/goodonyabar-organic-nutritional-bar-peanut-butter-honey-12-bars-3
12	214	2568	83.9	7	84	2.7	28	336	11	11	132	4.3	http://vitacost.com/about-time-protein-bars-pecan-pie
12	220	2640	84.6	10	120	3.8	22	264	8.5	11	132	4.2	http://vitacost.com/schinoussa-raw-more-superfood-paleo-bar-coconut-12-bars
12	220	2640	84.6	9	108	3.5	22	264	8.5	11	132	4.2	http://vitacost.com/schinoussa-raw-more-superfood-paleo-bar-cherry-pecan-12-bars-1
12	250	3000	103.5	18	216	7.5	17	204	7	10	120	4.1	http://vitacost.com/goodonyabar-organic-nutritional-bar-peanut-butter-chocolate-12-bars
12	240	2880	96	8	96	3.2	33	396	13.2	10	120	4	http://vitacost.com/amazing-grass-green-superfood-bars-protein-chocolate-cherry-almond-12-bars-1
12	300	3600	116.2	20	240	7.7	23	276	8.9	10	120	3.9	http://vitacost.com/exo-cricket-protein-bar-cocoa-nut-12-bars-1
12	290	3480	112.3	18	216	7	26	312	10.1	10	120	3.9	http://vitacost.com/exo-cricket-protein-bar-apple-cinnamon
12	270	3240	104.5	14	168	5.4	28	336	10.8	10	120	3.9	http://vitacost.com/exo-cricket-protein-bar-pb-j-12-bars
12	260	3120	100.7	16	192	6.2	23	276	8.9	10	120	3.9	http://vitacost.com/exo-cricket-protein-bar-blueberry-vanilla-12-bars
12	180	2160	113.7	9	108	5.7	22	264	13.9	6	72	3.8	http://vitacost.com/pure-organic-gluten-free-bar-peanut-butter-chocolate-chip-12-bars
12	173	2076	57.8	5	60	1.7	21	252	7	11	132	3.7	http://vitacost.com/inbar-organic-gluten-free-bar
12	140	1680	46.8	7	84	2.3	17	204	5.7	10	120	3.3	http://vitacost.com/inbar-gluten-free-bar-chocolate-fudge-12-bars
12	140	1680	46.8	7	84	2.3	17	204	5.7	10	120	3.3	http://vitacost.com/inbar-gluten-free-bar-cherry-chocolate-12-bars-1
12	140	1680	46.8	7	84	2.3	17	204	5.7	10	120	3.3	http://vitacost.com/inbar-gluten-free-bar-strawberry-banana-12-bars
15	100	1500	68.5	4.5	67.5	3.1	13	195	8.9	4	60	2.7	http://vitacost.com/health-warrior-chia-bars-gluten-free-chocolate-peanut-butter
15	100	1500	68.5	4.5	67.5	3.1	15	225	10.3	3	45	2.1	http://vitacost.com/health-warrior-chia-bars-gluten-free-acai-berry
12	210	2520	84.3	8	96	3.2	36	432	14.5	5	60	2	http://vitacost.com/amazing-grass-organic-green-superfood-nutrition-bar
12	210	2520	84.3	8	96	3.2	35	420	14.1	5	60	2	http://vitacost.com/amazing-grass-organic-green-superfood-nutrition-bar-berry
12	220	2640	66.3	13	156	3.9	21	252	6.3	6	72	1.8	http://vitacost.com/amazing-grass-whole-food-energy-bar-sweet-savory-almond-12-bars
12	230	2760	98.6	14	168	6	27	324	11.6	4	48	1.7	http://vitacost.com/vega-sport-energy-bar-chocolate-coconut-almond-12-bars-2
12	250	3000	75.3	10	120	3	36	432	10.8	5	60	1.5	http://vitacost.com/amazing-grass-whole-food-energy-bar-chocolate-chip-coconut-12-bars
2	170	340	12.6	6	12	0.4	19	38	1.4	10	20	0.7	http://vitacost.com/lenny-larrys-muscle-brownie-triple-chocolate
2	170	340	12.6	5	10	0.4	20	40	1.5	10	20	0.7	http://vitacost.com/lenny-larrys-muscle-brownie-cookies-cream-12-bars
1	180	180	5	8	8	0.2	17	17	0.5	10	10	0.3	http://vitacost.com/inbar-gluten-free-bar-chocolate-butter-crunch
1	171	171	4.8	7	7	0.2	17	17	0.5	10	10	0.3	http://vitacost.com/inbar-gluten-free-bar-cinnamon-swirl-12-bars
